Country,iso_code,Year,co2_per_capita
Sierra Leone,SLE,2023,0.14555909
Singapore,SGP,2023,8.50786
Sint Maarten (Dutch part),SXM,2023,16.201122
Slovakia,SVK,2023,5.570649
Slovenia,SVN,2023,5.3476315
Solomon Islands,SLB,2023,0.37852964
Somalia,SOM,2023,0.030373413
South Africa,ZAF,2023,6.357822
South America,,2023,2.5627933
South Korea,KOR,2023,11.15808
South Sudan,SSD,2023,0.13762999
Spain,ESP,2023,4.625513
Sri Lanka,LKA,2023,0.88446206
Sudan,SDN,2023,0.39968696
Suriname,SUR,2023,4.209699
Sweden,SWE,2023,3.46456
Switzerland,CHE,2023,3.6905546
Syria,SYR,2023,1.0808934
Taiwan,TWN,2023,11.200025
Tajikistan,TJK,2023,0.87148154
Tanzania,TZA,2023,0.27119026
Thailand,THA,2023,3.6873035
Togo,TGO,2023,0.2815926
Tonga,TON,2023,1.9054133
Trinidad and Tobago,TTO,2023,22.8339
Tunisia,TUN,2023,2.687845
Turkey,TUR,2023,4.9510126
Turkmenistan,TKM,2023,8.603866
Turks and Caicos Islands,TCA,2023,8.017784
Tuvalu,TUV,2023,1.1690556
Uganda,UGA,2023,0.11537297
Ukraine,UKR,2023,3.6164947
United Arab Emirates,ARE,2023,21.554382
United Kingdom,GBR,2023,4.4428244
United States,USA,2023,14.299026
Upper-middle-income countries,,2023,6.1591845
Uruguay,URY,2023,2.3216505
Uzbekistan,UZB,2023,3.4995892
Vanuatu,VUT,2023,0.7058317
Venezuela,VEN,2023,3.5182285
Vietnam,VNM,2023,3.3355136
Wallis and Futuna,WLF,2023,2.6914165
World,OWID_WRL,2023,4.6703916
Yemen,YEM,2023,0.2547522
Zambia,ZMB,2023,0.37391114
Zimbabwe,ZWE,2023,0.6831985
